	Alaska 					 Hawaii 
Year Max_Level Mean_Level %Change Max_Level Mean_Level %Change
1973	000.00	000.00	0.00	339.78	329.22	0.00
1974	333.64	329.55	0.00	340.21	333.78	1.39
1975	334.63	331.39	0.56	343.09	333.62	-0.05
1976	336.73	332.07	0.21	338.84	332.97	-0.19
1977	337.64	333.85	0.54	342.00	334.95	0.59
1978	338.87	335.43	0.47	343.36	337.20	0.67
1979	340.24	336.69	0.38	344.21	338.36	0.34
1980	342.38	338.83	0.64	347.27	340.42	0.61
1981	343.42	340.09	0.37	348.65	341.96	0.45
1982	345.12	341.32	0.36	351.49	343.08	0.33
1983	346.49	343.18	0.54	353.00	344.22	0.33
1984	348.33	344.74	0.45	353.37	346.41	0.64
1985	349.92	346.07	0.39	354.95	347.11	0.20
1986	351.14	347.30	0.36	355.85	349.13	0.58
1987	352.65	349.27	0.57	356.13	350.13	0.29
1988	354.92	351.58	0.66	360.54	353.47	0.95
1989	356.72	353.20	0.46	364.24	355.25	0.50
1990	358.10	354.47	0.36	363.51	356.04	0.22
1991	360.46	355.67	0.34	370.37	357.89	0.52
1992	360.63	356.43	0.21	365.16	357.87	-0.01
1993	361.14	357.16	0.20	364.73	357.53	-0.10
1994	362.74	358.91	0.49	369.61	360.40	0.80
1995	365.04	360.86	0.54	372.87	362.45	0.57
1996	366.00	362.67	0.50	371.10	364.30	0.51
1997	368.02	363.71	0.29	372.72	365.25	0.26
1998	370.63	366.70	0.82	376.40	368.04	0.76
1999	372.23	368.31	0.44	376.55	369.75	0.46
2000	373.34	369.58	0.34	379.14	371.22	0.40
2001	375.36	371.07	0.40	379.53	372.99	0.48
2002	376.58	373.29	0.60	381.25	374.54	0.42
2003	380.17	375.83	0.68	387.12	377.90	0.90
2004	381.58	377.66	0.49	385.72	378.68	0.21
2005	383.79	379.96	0.61	388.57	381.40	0.72
2006	385.68	381.89	0.51	390.53	383.63	0.58
2007	387.83	383.86	0.52	392.34	385.29	0.43
2008	390.63	385.52	0.43	396.01	388.12	0.73
2009	391.32	387.42	0.49	396.47	388.50	0.10
2010	394.02	389.84	0.62	399.17	391.21	0.70
2011	395.83	391.66	0.47	403.81	393.28	0.53
2012	397.78	393.87	0.56	403.20	395.55	0.58
2013	400.63	396.47	0.66	408.07	398.31	0.70
2014	402.71	398.71	0.56	409.08	399.83	0.38
2015	404.65	400.87	0.54	409.99	401.91	0.52
2016	409.34	404.25	0.84	412.46	404.94	0.75
%Change Mean 	0.48	0.47
